nazwa_produktu,cena_gospodarstwa,cena_detaliczna_atlanta,cena_detaliczna_chicago,cena_detaliczna_los_angeles,cena_detaliczna_nowy_jork,srednia_marza
Strawberries,0.2745098039215686,2.23,1.7,1.99,2.54,82.33%
Strawberries,0.20448179271708689,2.67,1.89,2.47,2.66,166.21%
Strawberries,0.11204481792717084,2.42,1.89,2.12,2.91,302.59%
Strawberries,0.11204481792717084,2.79,1.95,2.38,2.96,334.48%
Strawberries,0.14285714285714285,2.92,2.04,2.38,3.16,280.43%
Strawberries,0.20168067226890757,3.04,2.31,2.5,3.41,212.78%
Strawberries,0.2521008403361345,3.04,2.94,2.62,3.74,185.65%
Strawberries,0.4565826330532213,2.79,3.07,2.87,3.24,65.33%
Strawberries,0.4565826330532213,2.82,3.06,3.12,3.48,72.38%
Strawberries,0.4761904761904762,2.79,3.07,2.32,3.49,55.19%
Strawberries,0.4761904761904762,2.66,2.99,2.75,2.94,50.80%
Strawberries,0.4761904761904762,2.46,2.31,2.99,3.06,43.88%
Strawberries,0.4397759103641457,2.66,1.88,2.99,2.99,50.29%
Strawberries,0.4061624649859944,3.12,3.65,4.12,3.48,120.40%
Strawberries,0.5798319327731092,2.99,3.36,3.96,3.36,51.89%
Strawberries,0.6862745098039215,3.96,3.44,3.49,5.11,52.09%
Strawberries,0.6862745098039215,2.97,3.31,2.95,5.11,36.31%
Strawberries,0.649859943977591,3.58,3.74,4.99,5.11,74.20%
Strawberries,0.6862745098039215,3.96,4.21,4.24,5.66,71.77%
Strawberries,0.649859943977591,3.71,4.59,4.49,5.71,85.00%
Strawberries,0.7563025210084033,3.86,4.46,4.99,4.09,51.04%
Strawberries,0.8067226890756303,3.16,4.28,4.99,4.95,41.99%
Strawberries,0.8599439775910364,3.66,4.21,3.99,4.95,29.31%
Strawberries,0.7563025210084033,3.71,3.99,3.99,5.16,46.27%
Strawberries,0.7030812324929971,3.36,3.84,3.99,,4.00%
Strawberries,0.5322128851540616,2.99,3.84,3.99,3.86,76.44%
Strawberries,0.557422969187675,2.91,2.99,3.74,3.99,57.03%
Strawberries,0.24649859943977592,3.06,2.92,3.74,3.19,204.48%
Strawberries,0.257703081232493,2.99,2.66,3.24,3.56,182.95%
Strawberries,0.28291316526610644,2.65,2.62,3.12,3.44,148.53%
Strawberries,0.31652661064425774,2.7,2.54,3.04,3.56,125.95%
Strawberries,0.4061624649859944,2.49,2.03,3.12,3.31,67.94%
Strawberries,0.20728291316526615,3.09,2.41,3.24,3.56,234.24%
Strawberries,0.3249299719887956,2.69,2.29,2.57,3.34,103.17%
Strawberries,0.24649859943977592,2.7,2.57,3.49,3.44,187.74%
Strawberries,0.36134453781512604,2.73,3.02,3.24,3.34,109.69%
Strawberries,0.31652661064425774,2.5,2.04,2.55,3.21,96.56%
Strawberries,0.2913165266106443,3.0,2.24,2.5,3.99,140.37%
Strawberries,0.23809523809523814,2.76,2.7,2.87,2.89,172.33%
Strawberries,0.14285714285714285,2.82,2.23,2.75,3.01,291.67%
Strawberries,0.14285714285714285,2.84,2.36,2.87,3.01,301.45%
Strawberries,0.14285714285714285,2.64,2.44,2.75,3.39,306.52%
